,CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,parentesco(CH3),genero(CH04),edad(CH06),cob_medica(CH08),NIVEL_ED,CAT_OCUP,CAT_INAC,AE_ctrol_ind,AE_ctrol_ind_sum,adulto_equivalente,pobreza
6731,TQRMNOQVWHKOKSCDEGIBJ00788819,2022,4,1,1,41,N,12,193,1,,3,1,,4,1,1,1,,1,1,1,1,1,2,2,3,1,2,0,1,2,1,2,0,2,0,8,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,25000,1,1.0,1,,1.0,1,25000.0,2,2.0,3,,2.0,3,174,1,0,98,0,0,0,1,1,45,4,1,2,0,1.0,1.0,25000.0,1
6733,TQRMNOPYXHJOLLCDEGIBJ00794145,2022,4,1,1,41,N,12,443,2,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,1,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,1,2,110000,4,5.0,6,,5.0,5,36666.67,3,4.0,5,,4.0,5,476,1,2,98,0,0,0,1,2,32,1,4,2,0,0.77,2.25,48888.89,1
6736,TQRMNOQVQHKOKTCDEFMDB00787916,2022,4,1,1,43,N,6,457,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,4,1,3,100000,4,4.0,4,,4.0,4,25000.0,2,2.0,2,,2.0,2,644,2,0,98,0,0,0,1,1,29,1,4,2,0,1.02,3.0,33333.33,1
6740,TQRMNOSQQHLLKTCDEGLDF00716498,2022,4,1,1,41,N,15,179,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,2,2,2,0,0,0,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,120000,5,5.0,6,,5.0,6,40000.0,4,4.0,6,,5.0,6,241,1,0,4,0,0,0,1,1,60,1,6,3,0,1.0,2.5300000000000002,47430.83,1
6743,TQRMNORSQHJMKRCDEOJAH00794252,2022,4,1,1,44,N,93,106,2,,3,1,,2,2,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,2,2,0,2,0,2,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,4,0,4,95000,3,4.0,2,,4.0,2,23750.0,2,2.0,1,,2.0,1,140,1,2,98,0,0,0,1,2,64,1,2,0,1,0.67,3.05,31147.54,1
6753,TQRMNORYXHLMKOCDEGPDJ00716815,2022,4,1,1,40,N,19,197,1,,3,1,,2,2,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,2,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,6,1,5,162000,6,7.0,8,,7.0,8,27000.0,2,2.0,3,,3.0,4,197,3,0,98,0,0,0,1,1,77,1,3,0,1,0.74,4.47,36241.61,1
6754,TQRMNOQRPHMOKPCDEGPDJ00713326,2022,4,1,1,40,N,19,171,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,1,2,0,2,0,4,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,69000,2,2.0,3,,2.0,2,34500.0,3,3.0,5,,4.0,5,171,2,0,98,0,0,0,1,1,66,1,4,0,1,0.83,1.6,43125.0,1
6755,TQRMNOSWSHMOKPCDEGPDJ00713267,2022,4,1,1,40,N,19,193,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,2,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,45000,1,1.0,1,,1.0,1,22500.0,2,2.0,3,,2.0,2,193,1,0,98,0,0,0,1,2,62,1,2,0,1,0.67,1.69,26627.22,1
6757,TQRMNORSQHLNKPCDEGPDJ00716813,2022,4,1,1,40,N,19,110,1,,1,1,,1,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,4,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,0,2,68000,2,2.0,3,,2.0,2,34000.0,3,3.0,5,,4.0,5,110,1,0,98,0,0,0,1,2,48,1,3,3,0,0.76,1.76,38636.36,1
6760,TQRMNOQVPHLMQNCDEIJAH00718994,2022,4,1,1,1,S,33,1842,1,,3,1,,2,1,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,64000,2,,2,2.0,,2,32000.0,3,,3,3.0,,3,2682,1,0,98,0,0,0,1,1,66,4,2,0,1,0.83,1.66,38554.22,1
6764,TQRMNOQXPHLMQOCDEIJAH00718958,2022,4,1,1,1,S,33,1032,1,,4,1,,2,1,1,1,,1,1,1,2,1,2,2,4,1,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,55000,2,,2,2.0,,2,27500.0,2,,2,2.0,,3,1930,1,2,98,0,0,0,1,2,75,1,7,3,0,0.67,1.44,38194.44,1
6772,TQRMNOPUTHJOKTCDEIOAH00794381,2022,4,1,1,43,N,38,177,1,,4,2,,4,2,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,6,2,4,98000,4,4.0,4,,4.0,4,16333.33,1,1.0,1,,1.0,1,222,2,0,3,4,1,0,1,1,43,4,3,2,0,1.0,4.86,20164.61,1
6773,TQRMNOPUUHJOKTCDEIOAH00794382,2022,4,1,1,43,N,38,139,1,,2,2,,4,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,90000,3,4.0,4,,4.0,3,30000.0,3,3.0,2,,3.0,3,158,2,0,98,0,0,0,1,1,27,1,3,3,0,1.02,2.42,37190.08,1
6775,TQRMNOQVUHLNKRCDEIOAH00720039,2022,4,1,1,43,N,38,122,1,,3,2,,2,2,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,2,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,75000,2,3.0,2,,3.0,2,25000.0,2,2.0,2,,2.0,2,141,1,0,98,0,0,0,1,2,66,4,1,0,1,0.67,2.26,33185.84,1
6782,TQRMNOSSUHKNKPCDEGKDB00789374,2022,4,1,1,43,N,14,162,1,,3,2,,4,1,1,1,,1,1,1,3,2,2,2,3,2,2,0,1,2,1,2,0,2,0,2,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,4,1,3,128000,5,6.0,5,,6.0,7,32000.0,3,3.0,3,,3.0,4,233,2,0,3,0,0,0,1,1,48,4,2,3,0,1.0,3.47,36887.61,1
6783,TQRMNOSQTHKOKNCDEGKDB00789205,2022,4,1,1,43,N,14,168,1,,1,2,,4,1,1,1,,1,1,2,3,2,2,2,1,1,2,0,1,2,2,2,0,2,0,2,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,50000,1,1.0,1,,2.0,2,16666.67,1,1.0,1,,1.0,1,204,2,0,98,0,0,0,1,1,30,4,2,3,0,1.0,2.31,21645.02,1
6788,TQRMNOSRYHMOLSCDEGGFB00711574,2022,4,2,1,42,S,10,594,1,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,1,2,2,0,2,0,6,,1,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,102800,4,4.0,4,4.0,,4,34266.67,3,3.0,3,3.0,,3,551,2,0,1,0,0,0,1,1,24,4,3,3,0,1.02,2.13,48262.91,1
6790,TQRMNOSYPHMOLRCDEHPJB00711632,2022,4,1,1,40,S,29,350,2,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,0,2,10000,1,1.0,1,1.0,,1,5000.0,1,1.0,1,1.0,,1,321,1,2,98,0,0,0,1,2,22,1,5,2,0,0.76,1.52,6578.95,1
6791,TQRMNORQVHLOLOCDEHPJB00793370,2022,4,2,1,40,S,29,242,2,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,3,,1,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,0,1,15000,1,1.0,1,1.0,,1,15000.0,1,1.0,1,1.0,,1,243,1,0,98,0,0,0,1,2,26,4,5,0,3,0.76,0.76,19736.84,1
6793,TQRMNOPQQHKOLLCDEHPJB00790781,2022,4,1,1,40,S,29,374,1,,1,2,,4,2,1,1,,1,1,2,4,1,1,2,1,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,4,0,4,65200,2,2.0,2,2.0,,2,16300.0,1,1.0,1,1.0,,1,331,1,0,2,3,4,0,1,2,46,1,3,3,0,0.76,3.01,21661.13,1
6794,TQRMNORXYHKOLLCDEHPJB00790810,2022,4,1,1,40,S,29,430,1,,2,1,,4,2,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,6,1,5,176500,7,7.0,8,7.0,,8,29416.67,3,3.0,4,2.0,,4,602,2,0,4,0,0,0,1,2,66,1,2,3,0,0.67,5.18,34073.36,1
6795,TQRMNORVUHKMLMCDEHPJB00790866,2022,4,1,1,40,S,29,374,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,5,1,4,111000,4,5.0,5,4.0,,6,22200.0,2,2.0,2,2.0,,3,546,2,0,1,0,0,0,1,1,63,2,4,3,0,0.83,3.84,28906.25,1
6806,TQRMNOSTVHKOKRCDEGGFB00788540,2022,4,1,1,42,S,10,867,1,,1,1,,2,2,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,1,2,80800,3,3.0,3,3.0,,3,26933.33,2,2.0,2,2.0,,2,915,2,0,1,0,0,0,1,1,28,4,1,3,0,1.02,2.24,36071.43,1
6809,TQRMNOQSUHJNKOCDEHLEH00793797,2022,4,1,1,40,N,25,96,1,,3,2,,7,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,116500,4,5.0,6,,5.0,6,38833.33,4,4.0,5,,4.0,6,112,2,1,98,0,0,0,1,1,57,4,2,2,0,1.0,2.44,47745.9,1
6810,TQRMNOSTPHJNKOCDEHLEH00793798,2022,4,1,1,40,N,25,98,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,89000,3,3.0,4,,3.0,4,22250.0,2,2.0,3,,2.0,2,133,2,1,3,0,0,0,1,1,58,1,2,3,0,1.0,3.7800000000000002,23544.97,1
6814,TQRMNOSQSHLNKQCDEHLEH00717356,2022,4,1,1,40,N,25,89,1,,5,1,,1,1,1,1,,1,1,1,1,2,2,2,5,4,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,6,1,5,236500,8,9.0,9,,9.0,10,39416.67,4,4.0,6,,4.0,6,106,2,3,4,0,0,0,1,1,76,1,2,0,1,0.74,4.85,48762.89,1
6815,TQRMNOQVRHMNKQCDEHLEH00711487,2022,4,1,1,40,N,25,106,1,,4,1,,1,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,1,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,3,0,3,68000,2,2.0,3,,2.0,3,22666.67,2,2.0,3,,2.0,2,121,2,3,98,0,0,0,1,1,52,1,4,3,0,1.0,2.5300000000000002,26877.47,1
6823,TQRMNORWRHJOPMCDEIJAH00793804,2022,4,1,1,1,S,33,4083,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,1,,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,0,3,80000,3,,2,2.0,,3,26666.67,2,,2,2.0,,2,6465,2,0,2,0,0,0,1,1,70,4,2,3,0,0.83,2.29,34934.5,1
6824,TQRMNOPUQHLMOOCDEIJAH00793805,2022,4,1,1,1,S,33,2659,1,,3,1,,9,1,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,2,,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,3,143000,6,,5,6.0,,6,35750.0,3,,3,3.0,,4,5165,1,0,3,0,0,0,1,2,69,1,2,2,0,0.67,3.09,46278.32,1
6833,TQRMNOTQWHKOOPCDEIIAD00791341,2022,4,1,1,1,S,32,1443,2,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,1,1,1,1,2,2,0,2,0,4,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,2,3,0,3,109000,4,,4,4.0,,3,36333.33,3,,3,3.0,,1,2783,1,0,2,3,0,0,1,2,49,1,6,3,0,0.76,2.3,47391.3,1
6839,TQRMNOQUXHMOKOCDEHIBB00710582,2022,4,1,1,40,N,22,102,1,,1,1,,4,2,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,85000,3,3.0,4,,3.0,3,42500.0,4,4.0,6,,5.0,6,135,2,0,2,0,0,0,1,1,32,1,4,2,0,1.0,1.77,48022.6,1
6849,TQRMNOTQVHKOMNCDEFKID00787623,2022,4,1,1,43,S,4,674,2,,4,1,,9,1,1,1,,1,1,1,1,1,2,2,4,2,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,30000,1,1.0,1,1.0,,1,15000.0,1,1.0,1,1.0,,1,888,2,0,98,0,0,0,1,2,41,4,4,2,0,0.77,1.51,19867.55,1
6851,TQRMNORPXHKMMOCDEFKID00787678,2022,4,1,1,43,S,4,627,1,,2,1,,4,2,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,12000,1,1.0,1,1.0,,1,3000.0,1,1.0,1,1.0,,1,1186,2,0,1,0,0,0,1,2,43,4,5,3,0,0.77,3.83,3133.16,1
6854,TQSMNOSRPHLOLUCDEHPJB00779298,2022,4,1,1,40,S,29,503,1,,4,1,,4,1,1,1,,1,1,1,3,1,1,2,4,4,2,0,1,1,1,2,0,2,0,2,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,4,191500,7,8.0,8,7.0,,8,27357.14,2,2.0,3,2.0,,4,483,2,0,98,0,0,0,1,1,34,4,1,2,0,1.0,4.7700000000000005,40146.75,1
6860,TQRMNOQXTHMOKMCDEFPCH00711067,2022,4,1,1,44,N,9,283,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,6,,1,,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,6,2,4,184000,7,8.0,6,,8.0,5,30666.67,3,3.0,2,,3.0,2,277,1,0,2,3,4,0,1,2,38,1,3,0,4,0.77,4.7,39148.94,1
6863,TQRMNOQWUHKMKRCDEFPCH00788431,2022,4,1,1,44,N,9,584,1,,1,1,,1,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,117000,5,5.0,3,,5.0,2,39000.0,4,4.0,3,,4.0,2,661,2,0,1,3,0,0,1,1,62,4,3,2,0,0.83,2.5,46800.0,1
6866,TQRMNOQXUHKOKTCDEFPCH00788485,2022,4,1,1,44,N,9,359,1,,2,1,,1,1,1,1,,1,1,1,2,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,4,231000,8,9.0,7,,9.0,7,38500.0,4,4.0,2,,4.0,2,370,1,2,3,0,0,0,1,1,46,4,4,2,0,1.0,4.72,48940.68,1
6868,TQSMNOPQWHKMLSCDEGGFB00788659,2022,4,1,1,42,S,10,560,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,5,0,5,140000,5,6.0,6,5.0,,6,28000.0,2,3.0,3,2.0,,3,878,2,0,98,0,0,0,1,1,41,1,4,3,0,1.0,4.23,33096.93,1
6869,TQRMNORRSHKMLTCDEGGFB00788562,2022,4,1,1,42,S,10,571,1,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,1,2,0,2,0,1,,4,electricidad,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,5,1,4,180000,7,7.0,7,7.0,,8,36000.0,3,4.0,3,3.0,,4,981,2,0,1,3,0,0,1,1,46,1,6,3,0,1.0,4.23,42553.19,1
6873,TQRMNOQSXHMOKMCDEFNFF00711526,2022,4,1,1,41,N,7,278,1,,4,1,,4,1,1,1,,1,1,1,2,2,2,2,4,3,2,0,1,2,2,2,0,2,0,2,,2,,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,38100,1,1.0,1,,1.0,1,7620.0,1,1.0,1,,1.0,1,290,1,0,2,0,0,0,1,1,39,4,5,0,4,1.0,4.01,9501.25,1
6874,TQRMNOQTYHMMLQCDEHMHF00714190,2022,4,2,1,42,N,26,172,1,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,70000,2,2.0,2,,3.0,2,23333.33,2,2.0,2,,2.0,2,177,2,0,98,0,0,0,1,1,20,1,3,3,0,1.02,2.13,32863.85,1
6875,TQRMNOPTQHJNKMCDEHGHJ00794104,2022,4,1,1,44,N,20,188,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,5,1,4,106000,4,4.0,3,,5.0,3,21200.0,2,2.0,1,,2.0,2,154,2,0,1,0,0,0,1,1,53,3,3,2,0,1.0,3.85,27532.47,1
6882,TQRMNOSVUHMKKSCDEGIBJ00788849,2022,4,1,1,41,N,12,459,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,500,1,1.0,1,,1.0,1,250.0,1,1.0,1,,1.0,1,470,1,0,2,0,0,0,1,1,60,4,4,3,0,1.0,2.02,247.52,1
6884,TQRMNOQRRHLMLOCDEGIBJ00794148,2022,4,1,1,41,N,12,312,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,0,2,60000,2,2.0,2,,2.0,2,30000.0,3,3.0,4,,3.0,4,334,1,2,98,0,0,0,1,2,43,1,5,3,0,0.77,1.53,39215.69,1
6885,TQRMNORWVHLMLOCDEGIBJ00715941,2022,4,2,1,41,N,12,451,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,151000,6,7.0,8,,7.0,8,37750.0,4,4.0,5,,4.0,6,440,1,2,98,0,0,0,1,1,27,4,2,3,0,1.02,3.06,49346.41,1
6889,TQRMNOSPUHKMKNCDEFMDB00787914,2022,4,1,1,43,N,6,415,1,,3,1,,3,1,1,1,,1,1,1,3,2,2,2,3,2,2,0,2,2,2,0,0,0,0,6,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,4,0,4,80000,3,3.0,3,,3.0,3,20000.0,2,2.0,1,,2.0,1,568,1,0,98,0,0,0,1,2,52,1,5,3,0,0.76,3.66,21857.92,1
6890,TQRMNOQTSHLNRMCDEIJAH00780203,2022,4,2,1,1,S,33,3398,1,,3,1,,4,1,1,1,,1,1,1,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,2,,2,,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,0,2,57000,2,,2,2.0,,2,28500.0,2,,2,2.0,,3,3488,1,2,98,0,0,0,1,1,22,4,5,2,0,1.02,1.78,32022.47,1
6891,TQRMNORPUHKMQRCDEIJAH00792033,2022,4,1,1,1,S,33,3855,1,,1,2,,2,2,1,1,,1,1,1,1,1,1,2,1,1,2,0,2,2,2,0,0,0,0,6,,4,lena,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,29500,1,,1,1.0,,1,14750.0,1,,1,1.0,,1,4867,1,0,98,0,0,0,1,2,32,1,4,3,0,0.77,1.37,21532.85,1
6897,TQRMNOPXTHMOLRCDEGJBF00713123,2022,4,1,1,43,S,13,406,1,,2,1,,2,1,1,1,,1,1,1,2,2,2,2,2,2,2,0,1,2,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,5,1,4,176500,7,7.0,7,7.0,,7,35300.0,3,3.0,3,3.0,,3,429,1,0,98,0,0,0,1,1,42,4,3,3,0,1.0,4.47,39485.46,1
6905,TQRMNOPRWHMOKOCDEHNHB00712245,2022,4,1,1,42,S,27,317,1,,4,1,,1,2,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,4,0,4,137400,5,6.0,6,5.0,,5,34350.0,3,3.0,3,3.0,,3,317,2,0,98,0,0,0,1,1,47,1,6,2,0,1.0,3.54,38813.56,1
6914,TQRMNORPUHJMKMCDEFLID00794259,2022,4,1,1,43,S,5,275,1,,2,1,,4,2,1,2,,1,1,1,3,2,2,2,2,2,2,0,1,1,1,2,0,2,0,1,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,17000,1,1.0,1,1.0,,1,4250.0,1,1.0,1,1.0,,1,501,1,0,98,0,0,0,1,2,38,4,4,0,1,0.77,3.3,5151.52,1
6925,TQRMNORYSHKOKOCDEGKDB00789140,2022,4,1,1,43,N,14,135,1,,2,1,,4,1,1,1,,1,1,1,3,2,2,2,2,2,2,0,2,2,2,0,0,0,0,1,,2,,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,0,3,30500,1,1.0,1,,1.0,1,10166.67,1,1.0,1,,1.0,1,141,1,0,98,0,0,0,1,2,40,4,2,0,4,0.77,2.5300000000000002,12055.34,1
6927,TQRMNOQQYHMOKQCDEGLDF00712331,2022,4,1,1,41,N,15,196,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,2,2,0,0,0,0,1,,2,,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,3,0,3,123000,5,5.0,6,,5.0,6,41000.0,4,4.0,6,,5.0,6,221,1,0,3,0,0,0,1,2,47,1,6,3,0,0.76,2.6,47307.69,1
6933,TQRMNOPWUHMMLRCDEHJGH00712670,2022,4,1,1,40,S,23,284,1,,5,1,,2,1,1,1,,1,1,1,1,2,2,2,5,1,2,0,1,1,2,2,0,2,0,4,,1,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,2,2,0,2,37000,1,1.0,1,1.0,,1,18500.0,1,1.0,2,1.0,,2,290,1,0,98,0,0,0,1,2,46,4,5,0,4,0.76,1.76,21022.73,1
6934,TQSMNOSVVHJNLPCDEHJGH00794390,2022,4,1,1,40,S,23,324,1,,1,2,,4,2,2,1,,1,2,2,2,1,1,2,1,1,2,0,2,2,2,0,0,0,0,1,,4,ELECTRICO,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,35000,1,1.0,1,1.0,,1,35000.0,3,3.0,5,3.0,,5,317,1,0,98,0,0,0,1,1,62,4,1,2,0,0.83,0.83,42168.67,1
6938,TQRMNOQVYHJMMLCDEHJGH00794392,2022,4,1,1,40,S,23,271,1,,8,1,,2,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,2,2,2,0,0,0,0,1,,1,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,4,0,4,101000,4,4.0,5,4.0,,4,25250.0,2,2.0,3,2.0,,3,285,1,2,3,4,0,0,1,2,65,1,6,2,0,0.67,3.45,29275.36,1
